Object ID:1
Tracking Start:2018-11-09 19:02:58
2018-11-09 19:09:24[ 189.5  165.5]
2018-11-09 19:09:24[ 178.5  174.5]
2018-11-09 19:09:24[ 177.  177.]
2018-11-09 19:09:25[ 178.  171.]
2018-11-09 19:09:25[ 181.5  171.5]
2018-11-09 19:09:25[ 181.5  171.5]
2018-11-09 19:09:26[ 190.  167.]
2018-11-09 19:09:26[ 184.5  163.5]
2018-11-09 19:09:26[ 182.5  160.5]
2018-11-09 19:09:26[ 182.5  160.5]
2018-11-09 19:09:27[ 180.  159.]
2018-11-09 19:09:27[ 188.  160.]
2018-11-09 19:09:28[ 178.  159.]
2018-11-09 19:09:28[ 187.  161.]
2018-11-09 19:09:28[ 187.  161.]
2018-11-09 19:09:28[ 180.5  167.5]
2018-11-09 19:09:29[ 180.  166.]
2018-11-09 19:09:29[ 178.  167.]
2018-11-09 19:09:29[ 178.  162.]
2018-11-09 19:09:30[ 159.  156.]
2018-11-09 19:09:30[ 169.  155.]
2018-11-09 19:09:30[ 167.5  152.5]
2018-11-09 19:09:30[ 170.  156.]
2018-11-09 19:09:30[ 169.5  153.5]
2018-11-09 19:09:31[ 174.5  149.5]
2018-11-09 19:09:32[ 179.5  138.5]
2018-11-09 19:09:32[ 183.  141.]
2018-11-09 19:09:33[ 179.5  138.5]
2018-11-09 19:09:33[ 181.  136.]
2018-11-09 19:09:33[ 176.  143.]
2018-11-09 19:09:34[ 186.  142.]
2018-11-09 19:09:34[ 184.  142.]
2018-11-09 19:09:34[ 175.5  149.5]
2018-11-09 19:09:35[ 154.  154.]
2018-11-09 19:09:35[ 164.  143.]
2018-11-09 19:09:37[ 146.5  152.5]
2018-11-09 19:09:38[ 129.5  155.5]
2018-11-09 19:09:38[ 129.5  155.5]
Tracking End:2018-11-09 19:09:38

Object ID:32
Tracking Start:2018-11-09 19:09:44
2018-11-09 19:09:44[ 146.  173.]
2018-11-09 19:09:44[ 149.5  165.5]
2018-11-09 19:09:44[ 149.5  165.5]
2018-11-09 19:09:45[ 195.  148.]
2018-11-09 19:09:45[ 174.  145.]
2018-11-09 19:09:46[ 219.  167.]
2018-11-09 19:09:46[ 219.  167.]
2018-11-09 19:09:46[ 212.5  165.5]
2018-11-09 19:09:46[ 215.  167.]
2018-11-09 19:09:48[ 228.  158.]
2018-11-09 19:09:48[ 201.5  153.5]
2018-11-09 19:09:48[ 196.5  147.5]
2018-11-09 19:09:48[ 190.5  148.5]
2018-11-09 19:09:48[ 190.5  148.5]
2018-11-09 19:09:48[ 194.5  147.5]
2018-11-09 19:09:48[ 184.  148.]
2018-11-09 19:09:49[ 181.  149.]
2018-11-09 19:09:49[ 176.  151.]
2018-11-09 19:09:49[ 166.5  150.5]
2018-11-09 19:09:50[ 164.  150.]
2018-11-09 19:09:51[ 148.  151.]
2018-11-09 19:09:51[ 142.  148.]
2018-11-09 19:09:51[ 149.  145.]
2018-11-09 19:09:51[ 148.5  144.5]
2018-11-09 19:09:51[ 149.5  142.5]
2018-11-09 19:09:52[ 161.  148.]
2018-11-09 19:09:52[ 156.  150.]
2018-11-09 19:09:52[ 160.5  150.5]
2018-11-09 19:09:52[ 152.5  148.5]
2018-11-09 19:09:52[ 152.5  148.5]
2018-11-09 19:09:53[ 162.5  151.5]
2018-11-09 19:09:53[ 158.  151.]
2018-11-09 19:09:54[ 142.  141.]
2018-11-09 19:09:54[ 118.5  142.5]
Tracking End:2018-11-09 19:09:54

Object ID:33
Tracking Start:2018-11-09 19:10:01
2018-11-09 19:10:01[ 111.5  132.5]
2018-11-09 19:10:02[ 148.  130.]
2018-11-09 19:10:03[ 226.  132.]
2018-11-09 19:10:03[ 226.  132.]
2018-11-09 19:10:03[ 245.5  134.5]
2018-11-09 19:10:05[ 310.  142.]
2018-11-09 19:10:05[ 307.  142.]
2018-11-09 19:10:05[ 307.  142.]
2018-11-09 19:10:05[ 307.  142.]
2018-11-09 19:10:07[ 245.  130.]
2018-11-09 19:10:07[ 177.5  146.5]
2018-11-09 19:10:08[ 233.5  155.5]
2018-11-09 19:10:08[ 207.  163.]
2018-11-09 19:10:09[ 201.  161.]
2018-11-09 19:10:09[ 203.5  165.5]
2018-11-09 19:10:09[ 204.  166.]
2018-11-09 19:10:09[ 196.5  165.5]
2018-11-09 19:10:10[ 193.5  165.5]
2018-11-09 19:10:10[ 197.  165.]
2018-11-09 19:10:10[ 199.5  166.5]
